iteration	timestamp	dimension	coverage_score	quality_score	total_score	status	hypothesis	cost_usd
001	2026-04-05T21:03:09	REST API vs HTTP API: feature matrix, pricing, and performance differences	93.0	80.0	85.2	keep	Understanding the core differences between the two main API types is the foundational prerequisite for every other dimen	2.201
002	2026-04-05T21:05:11	WebSocket API: capabilities, connection limits, and scaling patterns	0.0	0.0	0.0	crash		2.267
003	2026-04-05T21:09:25	WebSocket API: capabilities, connection limits, and scaling patterns	100.0	82.5	89.5	keep	The research goal explicitly targets WebSocket APIs alongside REST, the REST vs HTTP comparison raised WebSocket vs stre	3.353
004	2026-04-05T21:17:25	Authentication and authorization: IAM, Cognito, Lambda authorizers, JWT	93.0	50.0	67.2	discard	Authorization is foundational to every other unexplored dimension — rate limiting depends on caller identity, cost model	7.562
005	2026-04-05T21:27:33	Authentication and authorization: IAM, Cognito, Lambda authorizers, JWT	100.0	50.0	70.0	discard	Authentication is foundational to every other dimension — rate limiting depends on caller identity, cost modeling change	12.733
006	2026-04-05T21:37:46	Authentication and authorization: IAM, Cognito, Lambda authorizers, JWT	0.0	0.0	0.0	crash		12.828
007	2026-04-05T21:40:15	Authentication and authorization: IAM, Cognito, Lambda authorizers, JWT	0.0	0.0	0.0	crash		12.923
008	2026-04-05T21:42:47	Authentication and authorization: IAM, Cognito, Lambda authorizers, JWT	0.0	0.0	0.0	crash		13.018
009	2026-04-05T21:53:01	Authentication and authorization: IAM, Cognito, Lambda authorizers, JWT	0.0	0.0	0.0	crash		13.113
010	2026-04-05T22:01:37	Authentication and authorization: IAM, Cognito, Lambda authorizers, JWT	86.0	50.0	64.4	discard	Auth is foundational to every other unexplored dimension — rate limiting depends on caller identity, multi-tenant SaaS p	17.504
011	2026-04-05T22:11:51	Authentication and authorization: IAM, Cognito, Lambda authorizers, JWT	0.0	0.0	0.0	crash		17.599
012	2026-04-05T22:22:03	Authentication and authorization: IAM, Cognito, Lambda authorizers, JWT	0.0	0.0	0.0	crash		17.694
013	2026-04-05T22:24:30	Authentication and authorization: IAM, Cognito, Lambda authorizers, JWT	0.0	0.0	0.0	crash		17.788
014	2026-04-05T22:27:06	Authentication and authorization: IAM, Cognito, Lambda authorizers, JWT	0.0	0.0	0.0	crash		17.882
015	2026-04-05T22:31:11	Authentication and authorization: IAM, Cognito, Lambda authorizers, JWT	0.0	0.0	0.0	crash		17.977
006	2026-04-05T22:43:37	Rate limiting, throttling, and usage plans for multi-tenant SaaS	0.0	0.0	0.0	crash		0.095
007	2026-04-05T22:46:34	Rate limiting, throttling, and usage plans for multi-tenant SaaS	0.0	0.0	0.0	crash		0.190
008	2026-04-05T22:49:26	Rate limiting, throttling, and usage plans for multi-tenant SaaS	0.0	0.0	0.0	crash		0.285
009	2026-04-05T22:54:22	Integration patterns: Lambda proxy, VPC link, HTTP proxy, service integrations	100.0	50.0	70.0	discard	Integration patterns are the architectural foundation that determines cost structure, latency profile, and operational c	1.860
010	2026-04-05T23:04:35	Integration patterns: Lambda proxy, VPC link, HTTP proxy, service integrations	0.0	0.0	0.0	crash		1.955
011	2026-04-05T23:14:53	Integration patterns: Lambda proxy, VPC link, HTTP proxy, service integrations	0.0	0.0	0.0	crash		2.048
012	2026-04-05T23:17:20	Deployment: stages, canary releases, versioning, CI/CD integration	0.0	0.0	0.0	crash		2.149
013	2026-04-05T23:19:33	Deployment: stages, canary releases, versioning, CI/CD integration	0.0	0.0	0.0	crash		2.252
007	2026-04-06T10:39:30	Observability: CloudWatch metrics, X-Ray tracing, access logging, and CloudTrail	0.0	0.0	0.0	crash		0.054
008	2026-04-06T10:41:17	Observability: CloudWatch metrics, X-Ray tracing, access logging, CloudTrail	0.0	0.0	0.0	crash		0.108
009	2026-04-06T10:43:49	Observability: CloudWatch metrics, X-Ray tracing, access logging, CloudTrail	0.0	0.0	0.0	crash		0.162
010	2026-04-06T10:45:55	Observability: CloudWatch metrics, X-Ray tracing, access logging, and CloudTrail	0.0	0.0	0.0	crash		0.216
011	2026-04-06T10:48:01	Observability: CloudWatch metrics, X-Ray tracing, access logging, and CloudTrail	0.0	0.0	0.0	crash		0.270
012	2026-04-06T10:49:33	Deployment: stages, canary releases, versioning, CI/CD integration	0.0	0.0	0.0	crash		0.325
013	2026-04-06T10:51:43	Custom domains, TLS certificates, and edge-optimized vs regional endpoints	0.0	0.0	0.0	crash		0.379
014	2026-04-06T10:53:20	Custom domains, TLS certificates, and edge-optimized vs regional endpoints	0.0	0.0	0.0	crash		0.434
015	2026-04-06T10:55:24	Custom domains, TLS certificates, and edge-optimized vs regional endpoints	0.0	0.0	0.0	crash		0.488
016	2026-04-06T11:05:44	Cost modeling: per-request pricing, data transfer, caching, and free tier	0.0	0.0	0.0	crash		0.543
017	2026-04-06T11:07:10	Cost modeling: per-request pricing, data transfer, caching, and free tier	0.0	0.0	0.0	crash		0.598
018	2026-04-06T11:09:20	Cost modeling: per-request pricing, data transfer, caching, and free tier	0.0	0.0	0.0	crash		0.652
019	2026-04-06T11:11:40	Observability: CloudWatch metrics, X-Ray tracing, access logging, CloudTrail	0.0	0.0	0.0	crash		0.706
020	2026-04-06T11:13:52	Hard limits and quotas that constrain architecture decisions	0.0	0.0	0.0	crash		0.760
021	2026-04-06T11:15:56	Hard limits and quotas that constrain architecture decisions	0.0	0.0	0.0	crash		0.815
022	2026-04-06T11:18:12	Hard limits and quotas that constrain architecture decisions	0.0	0.0	0.0	crash		0.869
023	2026-04-06T11:19:52	API Gateway vs ALB + Lambda for internal APIs: cost, features, and break-even analysis	0.0	0.0	0.0	crash		0.924
024	2026-04-06T11:21:15	done	93.0	50.0	67.2	discard	The research has covered all dimensions listed in the plan including REST vs HTTP API, WebSocket API, authentication, ra	1.064
025	2026-04-06T11:23:16	done	100.0	50.0	70.0	discard	The research has covered all listed dimensions including REST vs HTTP API, WebSocket API, authentication, rate limiting,	1.235
026	2026-04-06T11:25:37	API Gateway vs ALB + Lambda: cost, capability, and operational trade-offs for internal APIs	0.0	0.0	0.0	crash		1.289
027	2026-04-06T11:27:16	done	100.0	50.0	70.0	discard	The dimensions not yet explored list is empty; all planned research areas have been covered.	1.439
028	2026-04-06T11:28:50	done	100.0	50.0	70.0	discard	The research goal has been fully covered across all specified dimensions.	1.586
029	2026-04-06T11:30:19	done	0.0	0.0	0.0	crash		1.637
030	2026-04-06T11:32:11	done	93.0	50.0	67.2	discard	The research corpus is complete — all dimensions listed in the original scope have been explored.	1.800
012	2026-04-06T11:49:36	done	100.0	87.5	92.5	keep	The dimensions list indicates all topics are covered.	0.206
013	2026-04-06T11:51:19	done	93.0	75.0	82.2	discard	all dimensions have been explored and the research is complete	0.414
